NT_GER;NT_FG;NT_CE;NO_IES;CO_IES_enade;NO_CURSO;NO_CINE_ROTULO;NO_CINE_AREA_GERAL;CO_CATEGAD_DESC;SG_UF_IES;NO_REGIAO_IES;TP_ORGANIZACAO_ACADEMICA_ies_mec;QE_I08_DESC;QE_I04;QE_I05;QE_I17;CO_MODALIDADE;CO_TURNO_GRADUACAO
39,8;11,1;49,3;UNIVERSIDADE FEDERAL DE MATO GROSSO;1;Medicina;Medicina;Saúde e bem-estar;Pública Federal;MT;Centro-Oeste;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DE MATO GROSSO;1;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Federal;MT;Centro-Oeste;1.0;Não Informado;A;B;A;1;3
34;44,6;30,4;UNIVERSIDADE FEDERAL DE MATO GROSSO;1;Nutrição;Nutrição;Saúde e bem-estar;Pública Federal;MT;Centro-Oeste;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE DE BRASÍLIA;2;Medicina;Medicina;Saúde e bem-estar;Pública Federal;DF;Centro-Oeste;1.0;Até 1,5 s.m.;B;B;A;1;3
36,9;39,7;36;UNIVERSIDADE DE BRASÍLIA;2;Odontologia;Odontologia;Saúde e bem-estar;Pública Federal;DF;Centro-Oeste;1.0;Até 1,5 s.m.;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE DE BRASÍLIA;2;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Federal;DF;Centro-Oeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE DE BRASÍLIA;2;Nutrição;Nutrição;Saúde e bem-estar;Pública Federal;DF;Centro-Oeste;1.0;Até 1,5 s.m.;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DE SERGIPE;3;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Federal;SE;Nordeste;1.0;Não Informado;A;B;A;1;1
52,1;42;55,5;UNIVERSIDADE FEDERAL DE SERGIPE;3;Medicina;Medicina;Saúde e bem-estar;Pública Federal;SE;Nordeste;1.0;Até 1,5 s.m.;A;A;A;1;1
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DE SERGIPE;3;Odontologia;Odontologia;Saúde e bem-estar;Pública Federal;SE;Nordeste;1.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DO AMAZONAS;4;Medicina;Medicina;Saúde e bem-estar;Pública Federal;AM;Norte;1.0;Até 1,5 s.m.;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DO AMAZONAS;4;Farmácia;Farmácia;Saúde e bem-estar;Pública Federal;AM;Norte;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DO AMAZONAS;4;Odontologia;Odontologia;Saúde e bem-estar;Pública Federal;AM;Norte;1.0;Até 1,5 s.m.;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DO PIAUÍ;5;Medicina;Medicina;Saúde e bem-estar;Pública Federal;PI;Nordeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DO PIAUÍ;5;Odontologia;Odontologia;Saúde e bem-estar;Pública Federal;PI;Nordeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DO PIAUÍ;5;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Federal;PI;Nordeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DO PIAUÍ;5;Nutrição;Nutrição;Saúde e bem-estar;Pública Federal;PI;Nordeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DO PIAUÍ;5;Farmácia;Farmácia;Saúde e bem-estar;Pública Federal;PI;Nordeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DE OURO PRETO;6;Farmácia;Farmácia;Saúde e bem-estar;Pública Federal;MG;Sudeste;1.0;Até 1,5 s.m.;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DE OURO PRETO;6;Nutrição;Nutrição;Saúde e bem-estar;Pública Federal;MG;Sudeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DE SÃO CARLOS;7;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Federal;SP;Sudeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DE SÃO CARLOS;7;Fisioterapia;Fisioterapia;Saúde e bem-estar;Pública Federal;SP;Sudeste;1.0;Até 1,5 s.m.;A;A;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DE VIÇOSA;8;Nutrição;Nutrição;Saúde e bem-estar;Pública Federal;MG;Sudeste;1.0;Até 1,5 s.m.;A;B;A;1;3
30,6;24,8;32,5;UNIVERSIDADE ESTADUAL DE LONDRINA;9;Medicina;Medicina;Saúde e bem-estar;Pública Estadual;PR;Sul;1.0;Até 1,5 s.m.;A;A;A;1;3
56;58,9;55;UNIVERSIDADE ESTADUAL DE LONDRINA;9;Fisioterapia;Fisioterapia;Saúde e bem-estar;Pública Estadual;PR;Sul;1.0;Até 1,5 s.m.;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL DE LONDRINA;9;Odontologia;Odontologia;Saúde e bem-estar;Pública Estadual;PR;Sul;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL DE LONDRINA;9;Farmácia;Farmácia;Saúde e bem-estar;Pública Estadual;PR;Sul;1.0;Não Informado;A;B;A;1;3
45,7;32,9;50;UNIVERSIDADE ESTADUAL DE LONDRINA;9;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Estadual;PR;Sul;1.0;Até 1,5 s.m.;A;B;A;1;3
29,8;29,5;28,9;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;10;Enfermagem;Enfermagem;Saúde e bem-estar;Não Informado;PR;Sul;1.0;Até 1,5 s.m.;B;B;A;1;1
29,8;29,5;28,9;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;10;Medicina;Medicina;Saúde e bem-estar;Não Informado;PR;Sul;1.0;Até 1,5 s.m.;A;A;A;1;3
29,8;29,5;28,9;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;10;Odontologia;Odontologia;Saúde e bem-estar;Não Informado;PR;Sul;1.0;Até 1,5 s.m.;A;B;A;1;3
